Can_Ens	Hum_Symb
ENSCAFG00000027237	RN7SKP210
ENSCAFG00000021729	RNA5SP27
ENSCAFG00000020572	MIR205
ENSCAFG00000022187	SNORD87
ENSCAFG00000022670	RNU4-63P
ENSCAFG00000027543	SCARNA20
ENSCAFG00000028261	RNU6-952P
ENSCAFG00000020448	MIRLET7A2
ENSCAFG00000028195	SCARNA2
ENSCAFG00000027905	RNU6-480P
ENSCAFG00000026890	RN7SKP249
ENSCAFG00000026374	SNORA53
ENSCAFG00000026437	SNORA48
ENSCAFG00000026594	MIR876
ENSCAFG00000027684	SNORD123
ENSCAFG00000026472	SNORD50
ENSCAFG00000027360	RNU6-451P
ENSCAFG00000020623	MIR155
ENSCAFG00000022068	RNU1-63P
ENSCAFG00000027733	RNU6-671P
ENSCAFG00000021749	RNU6-996P
ENSCAFG00000027725	SNORA19
ENSCAFG00000026158	RNU6-433P
ENSCAFG00000020503	MIR125B1
ENSCAFG00000031328	NEAT1_2
ENSCAFG00000028122	SCARNA15
ENSCAFG00000027533	SNORA47
ENSCAFG00000025717	MIR30B
ENSCAFG00000026120	RNU6-1232P
ENSCAFG00000020859	SNORD52
ENSCAFG00000027913	SCARNA17
ENSCAFG00000022470	SNORA73A
ENSCAFG00000027173	RNU6-482P
ENSCAFG00000028650	TUG1_3
ENSCAFG00000027208	RNU4-61P
ENSCAFG00000027528	RNU6-1142P
ENSCAFG00000020626	MIR142
ENSCAFG00000020481	MIR222
ENSCAFG00000025814	SNORD83B
ENSCAFG00000026287	SNORD12
ENSCAFG00000032192	NEAT1_3
ENSCAFG00000020728	RNU6-1315P
ENSCAFG00000027720	7SK
ENSCAFG00000024085	BLOC1S3
ENSCAFG00000004570	GEMIN7
ENSCAFG00000004891	ZNF526
ENSCAFG00000005340	SERTAD3
ENSCAFG00000005345	SERTAD1
ENSCAFG00000029492	ZNF260
ENSCAFG00000031807	ZNF146
ENSCAFG00000006683	SDHAF1
ENSCAFG00000007027	FFAR2
ENSCAFG00000032737	ZNF781
ENSCAFG00000007405	CEBPG
ENSCAFG00000007509	RGS9BP
ENSCAFG00000007627	PLEKHF1
ENSCAFG00000006614	GALNT7
ENSCAFG00000007018	C10orf10
ENSCAFG00000031084	ZFP2
ENSCAFG00000000261	RPA3
ENSCAFG00000015452	ARL6IP1
ENSCAFG00000025012	C5orf24
ENSCAFG00000001081	TIFAB
ENSCAFG00000001132	HNRNPA0
ENSCAFG00000001810	TMEM215
ENSCAFG00000031154	KIAA1161
ENSCAFG00000003179	TMEM140
ENSCAFG00000003152	ZNF672
ENSCAFG00000005747	C8orf4
ENSCAFG00000000447	IER3
ENSCAFG00000000639	HSPA1L
ENSCAFG00000000674	ZBTB12
ENSCAFG00000000952	B3GALT4
ENSCAFG00000013815	XCR1
ENSCAFG00000013874	CXCR6
ENSCAFG00000023338	JUND
ENSCAFG00000023155	IER2
ENSCAFG00000028848	JUNB
ENSCAFG00000024217	TRAPPC5
ENSCAFG00000008104	SOX7
ENSCAFG00000025105	BNIP3L
ENSCAFG00000012001	ARL4C
ENSCAFG00000012206	ACKR3
ENSCAFG00000012469	TWIST2
ENSCAFG00000012588	ROMO1
ENSCAFG00000028721	BOK
ENSCAFG00000010422	IRX1
ENSCAFG00000010448	MRPL36
ENSCAFG00000011068	FOXN3
ENSCAFG00000011824	B3GNT5
ENSCAFG00000015717	CH25H
ENSCAFG00000004342	GP9
ENSCAFG00000005023	HRH1
ENSCAFG00000005960	LRRN1
ENSCAFG00000031910	ZNF239
ENSCAFG00000007044	HNRNPF
ENSCAFG00000012879	RPL18A
ENSCAFG00000003297	LRRN3
ENSCAFG00000013782	CCRL2
ENSCAFG00000000171	MC5R
ENSCAFG00000005293	SLITRK5
ENSCAFG00000013786	CCR2
ENSCAFG00000031868	ZNF518A
ENSCAFG00000031220	MARVELD1
ENSCAFG00000000237	LDHB
ENSCAFG00000009990	HPS6
ENSCAFG00000010495	PSMA1
ENSCAFG00000003715	MYCN
ENSCAFG00000005802	GPR183
ENSCAFG00000009805	NAP1L5
ENSCAFG00000003752	KCNS3
ENSCAFG00000000265	OLIG3
ENSCAFG00000029326	FAM133B
ENSCAFG00000000285	CITED2
ENSCAFG00000032495	SF3B5
ENSCAFG00000000322	STX11
ENSCAFG00000006031	LIG4
ENSCAFG00000006151	CDC42EP3
ENSCAFG00000015587	KLHDC7A
ENSCAFG00000006032	ABHD13
ENSCAFG00000010181	NUPR1L
ENSCAFG00000010200	NDUFS4
ENSCAFG00000006559	ITPRIPL1
ENSCAFG00000006805	ADRA2B
ENSCAFG00000000853	GPR31
ENSCAFG00000012283	PSMC6
ENSCAFG00000012523	CLDN4
ENSCAFG00000007239	CD24
ENSCAFG00000012532	CLDN3
ENSCAFG00000030514	TRAM1L1
ENSCAFG00000029347	PLN
ENSCAFG00000012949	DNAJC30
ENSCAFG00000012457	C4orf3
ENSCAFG00000000958	GJA1
ENSCAFG00000013159	FZD9
ENSCAFG00000007453	KRCC1
ENSCAFG00000014205	POP7
ENSCAFG00000014551	GAL3ST4
ENSCAFG00000009025	STX19
ENSCAFG00000031620	FAM200A
ENSCAFG00000015425	BHLHA15
ENSCAFG00000011607	MSMO1
ENSCAFG00000023269	GAS1
ENSCAFG00000031607	TRMT10C
ENSCAFG00000016406	CHST12
ENSCAFG00000011781	GPER1
ENSCAFG00000009807	CCDC54
ENSCAFG00000011775	GPR146
ENSCAFG00000009883	FAM46C
ENSCAFG00000030690	ZBED2
ENSCAFG00000016865	PYDC1
ENSCAFG00000011894	WDR5B
ENSCAFG00000016952	C16orf54
ENSCAFG00000016726	DRD1
ENSCAFG00000001649	GCNT1
ENSCAFG00000001926	FAM122A
ENSCAFG00000024239	MLLT11
ENSCAFG00000013105	PIGZ
ENSCAFG00000024695	TNFAIP8L2
ENSCAFG00000018904	SNN
ENSCAFG00000028571	ZBED8
ENSCAFG00000006994	ZNF664
ENSCAFG00000013466	LRRC15
ENSCAFG00000017576	MED7
ENSCAFG00000002075	PPAPDC2
ENSCAFG00000007484	SNRNP35
ENSCAFG00000025168	FAM110C
ENSCAFG00000002085	SNRPE
ENSCAFG00000024140	SMIM3
ENSCAFG00000003483	KCNF1
ENSCAFG00000005368	ACKR2
ENSCAFG00000018238	TIGD6
ENSCAFG00000003647	FAM84A
ENSCAFG00000023498	TLR8
ENSCAFG00000011746	TCEANC
ENSCAFG00000005494	FTL
ENSCAFG00000002169	NFIL3
ENSCAFG00000012787	RAI2
ENSCAFG00000005671	LRRC3B
ENSCAFG00000013260	KLHL34
ENSCAFG00000002204	S1PR3
ENSCAFG00000016031	HSPA2
ENSCAFG00000016401	TMEM229B
ENSCAFG00000006392	ACKR4
ENSCAFG00000007441	SLC35G2
ENSCAFG00000011383	CMKLR1
ENSCAFG00000029396	BASP1
ENSCAFG00000013673	CXorf21
ENSCAFG00000016861	PNMA1
ENSCAFG00000017158	IRF2BPL
ENSCAFG00000014056	MID1IP1
ENSCAFG00000007664	ZBTB38
ENSCAFG00000017329	FLRT2
ENSCAFG00000023832	FABP5
ENSCAFG00000014405	GPR34
ENSCAFG00000017342	GPR65
ENSCAFG00000017555	GPR68
ENSCAFG00000014753	CHST7
ENSCAFG00000008520	GPR171
ENSCAFG00000008531	P2RY13
ENSCAFG00000008626	P2RY1
ENSCAFG00000015958	USP27X
ENSCAFG00000010103	ASCL2
ENSCAFG00000031794	RAP2B
ENSCAFG00000018059	ANKRD9
ENSCAFG00000016075	GPR173
ENSCAFG00000000967	ZHX2
ENSCAFG00000012938	MGAT1
ENSCAFG00000016486	MAGEH1
ENSCAFG00000003956	HSPE1
ENSCAFG00000013138	CCDC85B
ENSCAFG00000001001	ZHX1
ENSCAFG00000018279	BAG5
ENSCAFG00000016509	UBQLN2
ENSCAFG00000001040	TRMT12
ENSCAFG00000013662	CDC42EP2
ENSCAFG00000007035	MFSD5
ENSCAFG00000030426	ZNHIT2
ENSCAFG00000001082	FAM84B
ENSCAFG00000008326	PEX2
ENSCAFG00000004081	JRKL
ENSCAFG00000031034	ZBTB42
ENSCAFG00000030967	COX14
ENSCAFG00000009109	RBM12B
ENSCAFG00000007063	PENK
ENSCAFG00000018398	CDCA4
ENSCAFG00000004129	ENDOD1
ENSCAFG00000032518	TSPYL5
ENSCAFG00000015467	CHRM1
ENSCAFG00000023986	TMEM121
ENSCAFG00000007084	FAM110B
ENSCAFG00000025166	FUT4
ENSCAFG00000031092	RPL39
ENSCAFG00000032500	LYRM4
ENSCAFG00000030542	FEN1
ENSCAFG00000004512	CCDC89
ENSCAFG00000009832	GFOD1
ENSCAFG00000000716	TMEM74
ENSCAFG00000007313	RRS1
ENSCAFG00000016459	LSM8
ENSCAFG00000029869	ZFP41
ENSCAFG00000024491	OR10AD1
ENSCAFG00000009024	CCDC184
ENSCAFG00000005203	TSKU
ENSCAFG00000001319	TIGD5
ENSCAFG00000009232	AMIGO2
ENSCAFG00000030078	ZNF623
ENSCAFG00000005269	RP11-111M22.2
ENSCAFG00000001723	TBCC
ENSCAFG00000001673	COMMD5
ENSCAFG00000001685	ZNF16
ENSCAFG00000030374	C6orf141
ENSCAFG00000005490	KCNE3
ENSCAFG00000010923	HIST1H1C
ENSCAFG00000005628	P2RY6
ENSCAFG00000002913	UTP3
ENSCAFG00000005630	P2RY2
ENSCAFG00000019252	C1orf233
ENSCAFG00000002876	TPBG
ENSCAFG00000002947	PRSS35
ENSCAFG00000008210	GREM1
ENSCAFG00000029365	KATNB1
ENSCAFG00000019915	FOXL1
ENSCAFG00000029228	ZNF770
ENSCAFG00000019916	FOXC2
ENSCAFG00000012037	LCMT2
ENSCAFG00000004047	RFPL4B
ENSCAFG00000023997	ATXN1L
ENSCAFG00000023770	TSPYL4
ENSCAFG00000014800	EID1
ENSCAFG00000015324	TNFAIP8L3
ENSCAFG00000004065	C6orf120
ENSCAFG00000020327	DDX28
ENSCAFG00000020344	THAP11
ENSCAFG00000009967	CHRM3
ENSCAFG00000020383	B3GNT9
ENSCAFG00000020398	PDP2
ENSCAFG00000011797	EXOC8
ENSCAFG00000024412	UBE2N
ENSCAFG00000013555	ATOH7
ENSCAFG00000000132	ARPC3
ENSCAFG00000024530	MINOS1
ENSCAFG00000017650	SENP8
ENSCAFG00000000340	CMC2
ENSCAFG00000005157	THBD
ENSCAFG00000018039	IMP3
ENSCAFG00000024260	ATXN7L3B
ENSCAFG00000018057	LINGO1
ENSCAFG00000005454	MGME1
ENSCAFG00000005560	FLRT3
ENSCAFG00000000564	SCO2
ENSCAFG00000025088	PHOSPHO2
ENSCAFG00000012900	GTF2F2
ENSCAFG00000000714	ZBED4
ENSCAFG00000006065	PRNP
ENSCAFG00000006068	ADRA1D
ENSCAFG00000000870	LDOC1L
ENSCAFG00000030944	STK19
ENSCAFG00000006877	FAM110A
ENSCAFG00000000946	A4GALT
ENSCAFG00000006973	SOX12
ENSCAFG00000001137	DNAJB7
ENSCAFG00000019027	LDOC1
ENSCAFG00000006170	SERTM1
ENSCAFG00000032015	MRFAP1
ENSCAFG00000006261	MAB21L1
ENSCAFG00000019037	SLITRK4
ENSCAFG00000024373	RPP38
ENSCAFG00000014337	BLOC1S4
ENSCAFG00000032032	IL17D
ENSCAFG00000019048	SLITRK2
ENSCAFG00000024733	CALML3
ENSCAFG00000029428	MAGEA10
ENSCAFG00000008362	SCAND1
ENSCAFG00000032145	BLCAP
ENSCAFG00000013547	FZD5
ENSCAFG00000015272	FGFBP1
ENSCAFG00000015450	HS3ST1
ENSCAFG00000014623	GPBAR1
ENSCAFG00000019180	PNMA6A
ENSCAFG00000012274	CISD1
ENSCAFG00000023427	KCNE4
ENSCAFG00000016172	TLR6
ENSCAFG00000019184	ZNF275
ENSCAFG00000011596	MOCS3
ENSCAFG00000019433	TMEM187
ENSCAFG00000016175	TLR10
ENSCAFG00000019591	SLC10A3
ENSCAFG00000024193	PROB1
ENSCAFG00000028673	C4orf19
ENSCAFG00000016367	SUMO4
ENSCAFG00000007162	SLC35A4
ENSCAFG00000029663	CEBPZOS
ENSCAFG00000003998	BBS12
ENSCAFG00000004232	HS6ST1
ENSCAFG00000016668	ANAPC13
ENSCAFG00000004840	INHBB
ENSCAFG00000012333	PPP1R3D
ENSCAFG00000004850	TMEM185B
ENSCAFG00000006114	TAF7
ENSCAFG00000004879	TMEM177
ENSCAFG00000004893	TMEM37
ENSCAFG00000024001	FAM217B
ENSCAFG00000006250	SPRY4
ENSCAFG00000005201	NXPH2
ENSCAFG00000007004	GAPT
ENSCAFG00000007166	SMIM15
ENSCAFG00000023653	CENPBD1
ENSCAFG00000018819	ZNRF4
ENSCAFG00000029254	ZNF837
ENSCAFG00000011523	C1orf116
ENSCAFG00000031863	ZNF329
ENSCAFG00000030526	C1orf74
ENSCAFG00000028864	ZNF211
ENSCAFG00000008289	ENC1
ENSCAFG00000029457	TIMM13
ENSCAFG00000029439	TMA7
ENSCAFG00000019523	APC2
ENSCAFG00000008559	ZNF319
ENSCAFG00000023333	C5orf30
ENSCAFG00000029712	GPR150
ENSCAFG00000032256	ZNF581
ENSCAFG00000002564	ZNF865
ENSCAFG00000008821	ANKRD34B
ENSCAFG00000030962	ZNF524
ENSCAFG00000004619	HPDL
ENSCAFG00000029267	CDC42EP5
ENSCAFG00000011895	PTAFR
ENSCAFG00000012651	FAM110D
ENSCAFG00000030375	PNRC2
ENSCAFG00000029631	ZNF613
ENSCAFG00000005314	TMEM125
ENSCAFG00000003428	NUP62
ENSCAFG00000011865	PIGM
ENSCAFG00000028797	ADM5
ENSCAFG00000031934	DUSP23
ENSCAFG00000004173	C5AR2
ENSCAFG00000004208	FKRP
ENSCAFG00000004297	CCDC8
ENSCAFG00000019446	TOR4A
ENSCAFG00000019454	C9orf173
ENSCAFG00000019478	TMEM203
ENSCAFG00000019554	C9orf172
ENSCAFG00000010134	NDN
ENSCAFG00000029970	C9orf69
ENSCAFG00000019860	PPP1R26
ENSCAFG00000019944	LAMTOR5
ENSCAFG00000005426	RNASE4
ENSCAFG00000019990	IER5L
ENSCAFG00000024028	KLF13
ENSCAFG00000018916	SOCS1
ENSCAFG00000019224	VASN
ENSCAFG00000005430	RNASE6
ENSCAFG00000024269	RNASE13
ENSCAFG00000002505	ZNF691
ENSCAFG00000011394	KLHL25
ENSCAFG00000025374	EXO5
ENSCAFG00000011681	EPSTI1
ENSCAFG00000024932	GJA9
ENSCAFG00000005688	PHLDA1
ENSCAFG00000003382	LSM10
ENSCAFG00000031769	C2orf88
ENSCAFG00000003542	C1orf216
ENSCAFG00000005722	RPL32
ENSCAFG00000023322	RASSF9
ENSCAFG00000003603	SMIM12
ENSCAFG00000024359	MARS2
ENSCAFG00000003605	GJA4
ENSCAFG00000023296	KCNA3
ENSCAFG00000003606	GJB3
ENSCAFG00000006153	BTG1
ENSCAFG00000003612	GJB5
ENSCAFG00000019827	AMIGO1
ENSCAFG00000023098	PRMT6
ENSCAFG00000024246	LRRC8D
ENSCAFG00000000036	SOCS6
ENSCAFG00000016605	C17orf96
ENSCAFG00000000047	DSEL
ENSCAFG00000030069	HMGN4
ENSCAFG00000016810	SP6
ENSCAFG00000030701	ZNF322
ENSCAFG00000016816	PRR15L
ENSCAFG00000031931	HIST1H2BJ
ENSCAFG00000016524	SPIN4
ENSCAFG00000016549	AMER1
ENSCAFG00000017365	TMEM100
ENSCAFG00000031680	ZNF391
ENSCAFG00000017662	PTRH2
ENSCAFG00000017836	PIGW
ENSCAFG00000017146	CXCR3
ENSCAFG00000018142	DUSP14
ENSCAFG00000018337	ZNF830
ENSCAFG00000018375	CDK5R1
ENSCAFG00000017258	SNRPD3
ENSCAFG00000030556	SMIM11
ENSCAFG00000017282	CYSLTR1
ENSCAFG00000018623	EVI2B
ENSCAFG00000009817	KCNJ15
ENSCAFG00000017452	PABPC5
ENSCAFG00000004287	FAM124A
ENSCAFG00000017468	NAP1L3
ENSCAFG00000019322	GNG10
ENSCAFG00000029700	LPAR6
ENSCAFG00000017693	HNRNPH2
ENSCAFG00000004456	NDUFB6
ENSCAFG00000017702	ARMCX6
ENSCAFG00000019349	EMC6
ENSCAFG00000017704	ARMCX3
ENSCAFG00000019370	GSG2
ENSCAFG00000017705	ARMCX2
ENSCAFG00000019403	MRPL41
ENSCAFG00000019445	NRARP
ENSCAFG00000017734	BEX5
ENSCAFG00000017774	ARMCX5
ENSCAFG00000029673	TCEAL8
ENSCAFG00000017788	BEX4
ENSCAFG00000008082	RASSF10
ENSCAFG00000008730	KCNJ11
ENSCAFG00000024178	NGFRAP1
ENSCAFG00000014268	ENY2
ENSCAFG00000030693	KIAA0040
ENSCAFG00000010808	OR4L1
ENSCAFG00000014703	PIGC
ENSCAFG00000011134	DAD1
ENSCAFG00000023327	METTL18
ENSCAFG00000005542	C1QTNF1
ENSCAFG00000031887	C14orf119
ENSCAFG00000015633	GREM2
ENSCAFG00000012254	LTB4R
ENSCAFG00000005306	SOCS3
ENSCAFG00000024440	MEX3A
ENSCAFG00000017056	DPM3
ENSCAFG00000001718	LRRC4
ENSCAFG00000004510	CDC42EP4
ENSCAFG00000020219	RPL13A
ENSCAFG00000018122	CHST9
ENSCAFG00000001762	TMEM229A
ENSCAFG00000001884	CLDN12
ENSCAFG00000013756	CLEC14A
ENSCAFG00000010741	KCNJ16
ENSCAFG00000010736	KCNJ2
ENSCAFG00000011410	RPL36AL
ENSCAFG00000014184	MGAT2
ENSCAFG00000024150	ARF6
ENSCAFG00000015004	SOCS4
ENSCAFG00000015660	TMEM30B
ENSCAFG00000024148	HEXIM1
ENSCAFG00000007777	CGGBP1
ENSCAFG00000002318	ARL4A
ENSCAFG00000015791	WDR89
ENSCAFG00000016026	AKAP5
ENSCAFG00000014134	FZD2
ENSCAFG00000004300	PNMAL1
ENSCAFG00000014581	ARL4D
ENSCAFG00000005068	KCTD12
ENSCAFG00000004361	IRF2BP1
ENSCAFG00000002506	FERD3L
ENSCAFG00000004395	FBXO46
ENSCAFG00000002743	MYEOV2
ENSCAFG00000004416	GPR4
ENSCAFG00000032187	RNF152
ENSCAFG00000005260	SPRY2
ENSCAFG00000011517	H3F3C
ENSCAFG00000012837	DUSP18
ENSCAFG00000003014	TRIL
ENSCAFG00000030620	TIMM9
ENSCAFG00000005289	SLITRK6
ENSCAFG00000010380	PCGF6
ENSCAFG00000010393	TAF5
ENSCAFG00000010411	PDCD11
ENSCAFG00000010451	CALHM2
ENSCAFG00000010473	SH3PXD2A
ENSCAFG00000010483	OBFC1
ENSCAFG00000010516	SLK
ENSCAFG00000010547	COL17A1
ENSCAFG00000031542	SFR1
ENSCAFG00000010593	GSTO1
ENSCAFG00000010604	ITPRIP
ENSCAFG00000010628	SORCS1
ENSCAFG00000010661	XPNPEP1
ENSCAFG00000010696	ADD3
ENSCAFG00000010706	MXI1
ENSCAFG00000010720	SMNDC1
ENSCAFG00000030565	DUSP5
ENSCAFG00000010762	SMC3
ENSCAFG00000010785	RBM20
ENSCAFG00000010807	PDCD4
ENSCAFG00000010831	SHOC2
ENSCAFG00000010840	ADRA2A
ENSCAFG00000010868	GPAM
ENSCAFG00000010928	ACSL5
ENSCAFG00000010960	ZDHHC6
ENSCAFG00000010984	VTI1A
ENSCAFG00000011005	TCF7L2
ENSCAFG00000011157	CASP7
ENSCAFG00000011169	PLEKHS1
ENSCAFG00000011186	DCLRE1A
ENSCAFG00000011206	NHLRC2
ENSCAFG00000011219	ADRB1
ENSCAFG00000011239	CCDC186
ENSCAFG00000011298	VWA2
ENSCAFG00000011348	AFAP1L2
ENSCAFG00000011513	ABLIM1
ENSCAFG00000011633	FAM160B1
ENSCAFG00000011688	TRUB1
ENSCAFG00000011725	ATRNL1
ENSCAFG00000011782	GFRA1
ENSCAFG00000011876	HSPA12A
ENSCAFG00000011891	ENO4
ENSCAFG00000011908	KIAA1598
ENSCAFG00000011950	SLC18A2
ENSCAFG00000011972	PDZD8
ENSCAFG00000011987	EMX2
ENSCAFG00000011991	RAB11FIP2
ENSCAFG00000011999	FAM204A
ENSCAFG00000012009	CACUL1
ENSCAFG00000012057	EIF3A
ENSCAFG00000012090	FAM45A
ENSCAFG00000012102	SFXN4
ENSCAFG00000012129	GRK5
ENSCAFG00000031204	RGS10
ENSCAFG00000012171	TIAL1
ENSCAFG00000012199	BAG3
ENSCAFG00000012205	INPP5F
ENSCAFG00000012225	MCMBP
ENSCAFG00000012270	SEC23IP
ENSCAFG00000012327	WDR11
ENSCAFG00000012374	FGFR2
ENSCAFG00000012400	ATE1
ENSCAFG00000012419	NSMCE4A
ENSCAFG00000012494	TACC2
ENSCAFG00000012547	PLEKHA1
ENSCAFG00000012556	HTRA1
ENSCAFG00000012561	DMBT1
ENSCAFG00000012641	PSTK
ENSCAFG00000030765	IKZF5
ENSCAFG00000012674	ACADSB
ENSCAFG00000012700	BUB3
ENSCAFG00000012718	CPXM2
ENSCAFG00000012723	CHST15
ENSCAFG00000012743	OAT
ENSCAFG00000012748	LHPP
ENSCAFG00000012760	FAM175B
ENSCAFG00000012768	ZRANB1
ENSCAFG00000012775	CTBP2
ENSCAFG00000032753	TEX36
ENSCAFG00000012820	EDRF1
ENSCAFG00000012857	MMP21
ENSCAFG00000012866	UROS
ENSCAFG00000012873	BCCIP
ENSCAFG00000012912	DHX32
ENSCAFG00000012954	FANK1
ENSCAFG00000012986	ADAM12
ENSCAFG00000013062	DOCK1
ENSCAFG00000013126	FOXI2
ENSCAFG00000013204	PTPRE
ENSCAFG00000013255	MKI67
ENSCAFG00000013263	MGMT
ENSCAFG00000013267	EBF3
ENSCAFG00000013280	GLRX3
ENSCAFG00000010882	PPP2R2D
ENSCAFG00000024645	BNIP3
ENSCAFG00000028746	JAKMIP3
ENSCAFG00000011107	STK32C
ENSCAFG00000011123	LRRC27
ENSCAFG00000011136	INPP5A
ENSCAFG00000013430	ZNF511
ENSCAFG00000011158	CFAP46
ENSCAFG00000013440	ADAM8
ENSCAFG00000030705	TUBGCP2
ENSCAFG00000013423	FUOM
ENSCAFG00000013411	ECHS1
ENSCAFG00000007649	MPEG1
ENSCAFG00000007734	OR6Q1
ENSCAFG00000007958	APLNR
ENSCAFG00000005889	RHOG
ENSCAFG00000012974	C12orf60
ENSCAFG00000012980	SMCO3
ENSCAFG00000012984	H2AFJ
ENSCAFG00000013245	GPR19
ENSCAFG00000025436	C3AR1
ENSCAFG00000014782	LPAR5
ENSCAFG00000030448	KCNA6
ENSCAFG00000029080	HRCT1
ENSCAFG00000029817	ZBTB5
ENSCAFG00000002603	TMEM246
ENSCAFG00000002803	ACTL7A
ENSCAFG00000003244	HDHD3
ENSCAFG00000003516	TRIM32
ENSCAFG00000002851	MRPS24
ENSCAFG00000009578	ZBED6
ENSCAFG00000009675	LRRN2
ENSCAFG00000010542	B3GALT2
ENSCAFG00000031609	C1orf115
ENSCAFG00000014327	B3GALNT1
ENSCAFG00000014440	SLITRK3
ENSCAFG00000014774	GPR160
ENSCAFG00000003379	FIGNL1
ENSCAFG00000004324	TMEM60
ENSCAFG00000001799	MTERF2
ENSCAFG00000023435	SOWAHC
ENSCAFG00000002070	FAM32A
ENSCAFG00000003134	NDUFA4
ENSCAFG00000002634	SOCS5
ENSCAFG00000003261	FBXO48
ENSCAFG00000003326	PCBP1
ENSCAFG00000028831	ELOF1
ENSCAFG00000012064	RNF26
ENSCAFG00000013519	C11orf71
ENSCAFG00000014143	SCAMP3
ENSCAFG00000028941	MIS12
ENSCAFG00000028732	ZFP3
ENSCAFG00000017005	C17orf59
ENSCAFG00000017379	MFSD6L
ENSCAFG00000018536	PPP6C
ENSCAFG00000018897	JUN
ENSCAFG00000017798	MORF4L2
ENSCAFG00000017812	RAB9B
ENSCAFG00000024686	MUM1L1
ENSCAFG00000030164	TXN
ENSCAFG00000018264	AGTR2
ENSCAFG00000023631	ZBTB33
ENSCAFG00000018547	C1GALT1C1
ENSCAFG00000018548	CIDEB
ENSCAFG00000010711	ATP6V1A
ENSCAFG00000005437	SLCO2B1
ENSCAFG00000013410	RGL1
ENSCAFG00000010317	METAP1
ENSCAFG00000006057	WHSC1L1
ENSCAFG00000010756	CRCP
ENSCAFG00000003548	NCDN
ENSCAFG00000000953	CYB5R3
ENSCAFG00000030931	LIF
